Entity1,Relationship,Entity2,Evidence,Evidence URL
RMEL,Neurotransmitter,GABA,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEL,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMEL,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMEL,Receptor,AVR-15,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEL,Receptor,SER-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEL,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEL,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEL,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMER,Neurotransmitter,GABA,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMER,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMER,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMER,Receptor,AVR-15,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMER,Receptor,SER-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMER,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMER,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMER,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEV,Neurotransmitter,GABA,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEV,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMEV,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMEV,Receptor,AVR-15,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEV,Receptor,SER-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEV,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEV,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMEV,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMFL,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMFmainframe.htm
RMFR,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMFmainframe.htm
RMGL,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMGmainframe.htm
RMGL,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMGL,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMGmainframe.htm
RMGR,Neuropeptide,PDF-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMGmainframe.htm
RMGR,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMGR,type,Interneuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMGmainframe.htm
RMHL,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMHmainframe.htm
RMHR,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMHmainframe.htm
SAADL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/SAAmainframe.htm
